round,source,rater1,rater2
1,B,0,0
1,B,0,0
1,B,1,0
1,B,1,0
1,B,0,1
1,B,0,0
1,B,0,0
1,B,0,0
1,B,0,0
1,B,1,1
1,B,1,1
1,B,1,1
1,B,0,0
1,B,0,0
1,B,1,1
1,B,0,0
1,B,0,0
1,B,0,0
1,B,0,0
1,B,1,1
1,B,0,1
1,B,0,0
1,B,0,0
1,B,0,1
1,B,1,0
1,B,0,1
1,B,1,1
1,B,1,1
1,B,0,1
1,B,1,1
1,G,0,0
1,G,1,1
1,G,0,0
1,G,0,0
1,G,0,0
1,G,0,0
1,G,0,0
1,G,0,0
1,G,0,0
1,G,0,0
1,G,0,1
1,G,0,0
1,G,1,1
1,G,0,0
1,G,0,0
1,G,0,0
1,G,0,0
1,G,1,1
1,G,0,0
1,G,0,0
1,G,0,0
1,G,0,0
1,G,0,0
1,G,0,0
1,G,0,0
1,G,0,0
1,G,1,1
1,G,1,1
1,G,0,0
1,G,0,0
1,SE,1,0
1,SE,1,0
1,SE,1,1
1,SE,1,1
1,SE,0,1
1,SE,1,0
1,SE,1,0
1,SE,0,0
1,SE,1,1
1,SE,1,0
1,SE,1,0
1,SE,0,0
1,SE,1,0
1,SE,1,0
1,SE,1,0
1,SE,1,1
1,SE,1,0
1,SE,0,1
1,SE,1,0
1,SE,1,0
1,SO,0,0
1,SO,0,0
1,SO,1,1
1,SO,0,0
1,SO,0,0
1,SO,1,0
1,SO,0,0
1,SO,0,0
1,SO,1,1
1,SO,1,1
1,SO,0,0
1,SO,0,0
1,SO,0,0
1,SO,0,0
1,SO,0,0
1,SO,0,0
1,SO,0,0
1,SO,0,0
1,SO,0,0
1,SO,0,1
2,B,0,0
2,B,0,1
2,B,0,0
2,B,0,1
2,B,0,1
2,B,1,0
2,B,1,0
2,B,0,0
2,B,1,0
2,B,0,0
2,B,1,1
2,B,0,1
2,B,0,0
2,B,0,1
2,B,0,0
2,B,0,0
2,B,1,0
2,B,1,1
2,B,0,0
2,B,0,0
2,B,0,0
2,B,0,0
2,B,0,0
2,B,1,1
2,B,0,0
2,B,0,0
2,B,1,0
2,B,0,0
2,B,0,0
2,B,0,0
2,G,0,0
2,G,1,1
2,G,0,0
2,G,0,0
2,G,1,0
2,G,0,0
2,G,0,0
2,G,0,0
2,G,0,0
2,G,0,0
2,G,0,0
2,G,0,1
2,G,1,1
2,G,0,0
2,G,1,1
2,G,0,0
2,G,0,0
2,G,0,1
2,G,0,0
2,G,0,0
2,G,0,0
2,G,0,0
2,G,0,0
2,G,0,0
2,G,0,0
2,G,0,0
2,G,0,0
2,G,0,0
2,G,0,0
2,G,0,0
2,SE,0,1
2,SE,0,0
2,SE,0,0
2,SE,1,0
2,SE,1,0
2,SE,1,1
2,SE,0,0
2,SE,0,1
2,SE,0,1
2,SE,0,0
2,SE,0,0
2,SE,0,0
2,SE,0,1
2,SE,0,0
2,SE,0,0
2,SE,1,1
2,SE,0,1
2,SE,0,0
2,SE,1,1
2,SE,1,0
2,SO,0,0
2,SO,0,0
2,SO,0,0
2,SO,1,1
2,SO,0,0
2,SO,0,1
2,SO,0,1
2,SO,0,0
2,SO,0,1
2,SO,0,0
2,SO,0,1
2,SO,0,1
2,SO,0,0
2,SO,0,0
2,SO,1,1
2,SO,0,0
2,SO,0,0
2,SO,1,0
2,SO,0,0
2,SO,1,0
3,B,0,0
3,B,0,0
3,B,1,1
3,B,0,0
3,B,0,0
3,B,1,1
3,B,1,1
3,B,0,0
3,B,1,1
3,B,0,0
3,B,0,0
3,B,0,0
3,B,1,0
3,B,1,0
3,B,1,1
3,B,0,0
3,B,0,0
3,B,0,0
3,B,0,0
3,B,0,0
3,B,0,0
3,B,1,0
3,B,0,0
3,B,1,1
3,B,1,1
3,B,0,0
3,B,0,0
3,B,0,0
3,B,0,0
3,B,0,0
3,G,0,0
3,G,0,0
3,G,0,0
3,G,0,1
3,G,0,0
3,G,0,0
3,G,0,0
3,G,0,0
3,G,1,0
3,G,0,0
3,G,0,0
3,G,0,0
3,G,0,0
3,G,0,0
3,G,0,0
3,G,0,0
3,G,0,0
3,G,0,0
3,G,1,1
3,G,0,0
3,G,0,0
3,G,1,1
3,G,1,1
3,G,1,1
3,G,0,1
3,G,0,0
3,G,0,0
3,G,0,1
3,G,1,0
3,G,0,0
3,SE,0,0
3,SE,0,1
3,SE,0,0
3,SE,1,1
3,SE,0,0
3,SE,0,0
3,SE,1,1
3,SE,0,0
3,SE,0,0
3,SE,0,0
3,SE,0,0
3,SE,1,0
3,SE,0,0
3,SE,1,0
3,SE,0,0
3,SE,1,0
3,SE,1,0
3,SE,1,0
3,SE,0,0
3,SE,0,0
3,SO,0,0
3,SO,0,0
3,SO,0,0
3,SO,0,0
3,SO,0,0
3,SO,0,0
3,SO,0,0
3,SO,0,0
3,SO,0,0
3,SO,0,0
3,SO,0,0
3,SO,1,0
3,SO,0,0
3,SO,0,0
3,SO,0,0
3,SO,0,0
3,SO,0,0
3,SO,0,0
3,SO,0,0
3,SO,1,0
4,B,1,0
4,B,1,1
4,B,0,0
4,B,1,1
4,B,0,0
4,B,0,0
4,B,1,1
4,B,1,0
4,B,0,1
4,B,0,0
4,B,0,0
4,B,0,0
4,B,0,0
4,B,1,1
4,B,1,1
4,B,0,1
4,B,1,1
4,B,0,0
4,B,1,1
4,B,0,0
4,B,0,0
4,B,0,0
4,B,0,0
4,B,0,0
4,B,0,0
4,B,0,0
4,B,1,0
4,B,0,0
4,B,0,0
4,B,0,0
4,G,0,0
4,G,0,0
4,G,0,0
4,G,0,0
4,G,0,0
4,G,0,0
4,G,0,0
4,G,0,0
4,G,0,0
4,G,1,1
4,G,0,0
4,G,0,0
4,G,0,0
4,G,0,0
4,G,0,0
4,G,0,0
4,G,0,0
4,G,0,0
4,G,0,0
4,G,0,0
4,G,0,0
4,G,1,1
4,G,1,1
4,G,0,0
4,G,0,0
4,G,0,0
4,G,0,0
4,G,0,0
4,G,1,0
4,G,0,0
4,SE,0,1
4,SE,0,0
4,SE,1,1
4,SE,0,0
4,SE,0,0
4,SE,0,1
4,SE,0,1
4,SE,1,1
4,SE,0,0
4,SE,0,0
4,SE,0,0
4,SE,0,1
4,SE,0,1
4,SE,0,0
4,SE,0,0
4,SE,0,0
4,SE,0,0
4,SE,0,0
4,SE,1,1
4,SE,0,0
4,SO,1,0
4,SO,0,0
4,SO,0,0
4,SO,0,0
4,SO,0,0
4,SO,0,0
4,SO,0,0
4,SO,0,0
4,SO,0,1
4,SO,0,0
4,SO,1,1
4,SO,0,0
4,SO,0,0
4,SO,0,0
4,SO,0,0
4,SO,0,0
4,SO,0,0
4,SO,0,0
4,SO,0,0
4,SO,0,0
